rys_start,rys_end,duplicated_layers,execution_layers,blimp_fast,supplement_fast,ewok_fast,entity_tracking_fast,combined_sentence_acc,eye_tracking_score,self_paced_reading_score,output_dir
3,11,8,20,63.6,53.6,50.18,16.42,45.95,8.04,2.46,results_rys_fast/rys_3_11
4,11,7,19,64.48,50.8,50.73,16.77,45.695,7.9,2.36,results_rys_fast/rys_4_11
5,11,6,18,65.22,52.8,50.36,17.19,46.3925,8.14,2.38,results_rys_fast/rys_5_11
6,11,5,17,65.46,51.6,51.09,17.31,46.365,8.22,2.39,results_rys_fast/rys_6_11
7,11,4,16,65.77,53.6,51.64,17.46,47.1175,8.07,2.24,results_rys_fast/rys_7_11
8,11,3,15,65.45,55.2,52.09,16.79,47.3825,8.13,2.2,results_rys_fast/rys_8_11
9,11,2,14,65.89,55.2,51.73,18.09,47.7275,8.3,2.24,results_rys_fast/rys_9_11
10,11,1,13,66.15,56.8,51.27,18.05,48.0675,8.35,2.12,results_rys_fast/rys_10_11
0,12,12,24,64.01,56.0,49.18,16.7,46.472500000000004,6.13,2.25,results_rys_fast/rys_0_12
1,12,11,23,64.02,55.2,50.0,17.15,46.5925,6.9,2.38,results_rys_fast/rys_1_12
2,12,10,22,63.82,53.2,51.36,16.9,46.32,6.75,2.39,results_rys_fast/rys_2_12
3,12,9,21,63.84,54.0,51.27,16.39,46.375,6.72,2.29,results_rys_fast/rys_3_12
4,12,8,20,64.68,53.2,51.45,16.38,46.4275,6.62,2.21,results_rys_fast/rys_4_12
5,12,7,19,65.36,54.4,50.82,16.76,46.835,6.9,2.32,results_rys_fast/rys_5_12
6,12,6,18,65.77,53.2,52.27,16.95,47.0475,7.38,2.47,results_rys_fast/rys_6_12
7,12,5,17,65.82,53.6,52.55,16.74,47.177499999999995,7.18,2.3,results_rys_fast/rys_7_12
8,12,4,16,65.46,56.0,52.18,16.47,47.527499999999996,7.18,2.2,results_rys_fast/rys_8_12
9,12,3,15,65.74,56.0,51.82,17.23,47.6975,7.55,2.14,results_rys_fast/rys_9_12
10,12,2,14,65.9,58.0,51.0,17.6,48.125,7.7,2.04,results_rys_fast/rys_10_12
11,12,1,13,65.77,59.6,51.64,18.04,48.7625,7.69,1.85,results_rys_fast/rys_11_12
