rys_start,rys_end,duplicated_layers,execution_layers,blimp_fast,supplement_fast,ewok_fast,entity_tracking_fast,combined_sentence_acc,eye_tracking_score,self_paced_reading_score,output_dir
3,11,8,20,65.54,56.8,48.82,17.54,47.175,8.54,2.99,results_rys_fast/rys_3_11
4,11,7,19,65.95,56.0,51.09,17.35,47.597500000000004,8.52,2.99,results_rys_fast/rys_4_11
5,11,6,18,65.99,57.2,51.09,17.02,47.825,8.5,2.97,results_rys_fast/rys_5_11
6,11,5,17,66.02,56.0,51.27,18.07,47.84,8.52,2.93,results_rys_fast/rys_6_11
7,11,4,16,66.63,56.0,50.45,18.14,47.805,8.56,2.87,results_rys_fast/rys_7_11
8,11,3,15,66.85,57.6,50.91,17.64,48.25,8.44,2.89,results_rys_fast/rys_8_11
9,11,2,14,67.07,58.4,49.55,17.71,48.1825,8.34,2.86,results_rys_fast/rys_9_11
10,11,1,13,67.8,58.8,49.27,17.15,48.254999999999995,8.33,2.87,results_rys_fast/rys_10_11
0,12,12,24,64.99,54.4,50.09,16.45,46.4825,8.49,3.02,results_rys_fast/rys_0_12
1,12,11,23,64.96,57.6,51.0,16.47,47.5075,8.59,3.06,results_rys_fast/rys_1_12
2,12,10,22,65.04,57.2,50.73,16.29,47.315,8.63,3.05,results_rys_fast/rys_2_12
3,12,9,21,65.42,57.6,52.0,16.34,47.84,8.64,3.03,results_rys_fast/rys_3_12
4,12,8,20,65.99,57.2,52.91,16.92,48.254999999999995,8.64,3.02,results_rys_fast/rys_4_12
5,12,7,19,66.35,56.4,52.27,16.5,47.879999999999995,8.62,3.0,results_rys_fast/rys_5_12
6,12,6,18,66.36,56.0,51.0,17.15,47.6275,8.62,2.96,results_rys_fast/rys_6_12
7,12,5,17,66.6,56.4,50.91,17.29,47.8,8.65,2.9,results_rys_fast/rys_7_12
8,12,4,16,66.92,57.6,51.0,16.91,48.1075,8.53,2.91,results_rys_fast/rys_8_12
9,12,3,15,67.22,58.0,50.45,17.67,48.335,8.41,2.88,results_rys_fast/rys_9_12
10,12,2,14,67.58,59.2,49.82,16.84,48.36,8.37,2.89,results_rys_fast/rys_10_12
11,12,1,13,67.19,59.6,51.09,16.89,48.6925,8.4,2.89,results_rys_fast/rys_11_12
